ColumnName,ColumnDataType
date,DATE
line_item_id,INT64
device_type,STRING
browser,STRING
environment,STRING
country_code,STRING
partner_id,INT64
advertiser_id,INT64
insertion_order_id,INT64
partner,STRING
partner_currency,STRING
advertiser,STRING
advertiser_currency,STRING
campaign_id,INT64
campaign,STRING
insertion_order,STRING
line_item,STRING
line_item_type,STRING
line_item_start_date,DATE
line_item_end_date,DATE
impressions,INT64
clicks,INT64
revenue_usd,FLOAT64
engagements,INT64
revenue_partner_currency,FLOAT64
revenue_advertiser_currency,FLOAT64
youtube_views,INT64
