SourceField,ResponseField,TargetField,DataType
ad_group.ad_rotation_mode,ad_rotation_mode,ad_rotation_mode,STRING
ad_group.audience_setting.use_audience_grouped,audience_setting,audience_setting.use_audience_grouped,BOOL
ad_group.base_ad_group,base_ad_group,base_ad_group,STRING
ad_group.campaign,campaign,campaign,STRING
ad_group.cpc_bid_micros,cpc_bid_micros,cpc_bid_micros,INT64
ad_group.cpm_bid_micros,cpm_bid_micros,cpm_bid_micros,INT64
ad_group.cpv_bid_micros,cpv_bid_micros,cpv_bid_micros,INT64
ad_group.display_custom_bid_dimension,display_custom_bid_dimension,display_custom_bid_dimension,STRING
ad_group.effective_cpc_bid_micros,effective_cpc_bid_micros,effective_cpc_bid_micros,INT64
ad_group.effective_target_cpa_micros,effective_target_cpa_micros,effective_target_cpa_micros,INT64
ad_group.effective_target_cpa_source,effective_target_cpa_source,effective_target_cpa_source,STRING
ad_group.effective_target_roas,effective_target_roas,effective_target_roas,FLOAT64
ad_group.effective_target_roas_source,effective_target_roas_source,effective_target_roas_source,STRING
ad_group.excluded_parent_asset_field_types,excluded_parent_asset_field_types,excluded_parent_asset_field_types[],STRING
ad_group.excluded_parent_asset_set_types,excluded_parent_asset_set_types,excluded_parent_asset_set_types[],STRING
ad_group.final_url_suffix,final_url_suffix,final_url_suffix,STRING
ad_group.id,id,id,INT64
ad_group.labels,labels,labels[],STRING
ad_group.name,name,name,STRING
ad_group.optimized_targeting_enabled,optimized_targeting_enabled,optimized_targeting_enabled,BOOL
ad_group.percent_cpc_bid_micros,percent_cpc_bid_micros,percent_cpc_bid_micros,INT64
ad_group.resource_name,resource_name,resource_name,STRING
ad_group.status,status,status,STRING
ad_group.target_cpa_micros,target_cpa_micros,target_cpa_micros,INT64
ad_group.target_cpm_micros,target_cpm_micros,target_cpm_micros,INT64
ad_group.target_roas,target_roas,target_roas,FLOAT64
ad_group.targeting_setting.target_restrictions,targeting_setting,targeting_setting.target_restrictions[].targeting_dimension,STRING
ad_group.targeting_setting.target_restrictions,targeting_setting,targeting_setting.target_restrictions[].bid_only,BOOL
ad_group.targeting_setting.target_restrictions,targeting_setting,targeting_setting.target_restriction_operations[].operator,STRING
ad_group.targeting_setting.target_restrictions,targeting_setting,targeting_setting.target_restriction_operations[].value.targeting_dimension,STRING
ad_group.targeting_setting.target_restrictions,targeting_setting,targeting_setting.target_restriction_operations[].value.bid_only,BOOL
ad_group.tracking_url_template,tracking_url_template,tracking_url_template,STRING
ad_group.type,type_,type_,STRING
ad_group.url_custom_parameters,url_custom_parameters,url_custom_parameters[].key,STRING
ad_group.url_custom_parameters,url_custom_parameters,url_custom_parameters[].value,STRING
