ResponseField,TargetField,DataType
account_currency,account_currency,STRING
account_id,account_id,INT64
account_name,account_name,STRING
action_values,action_values,JSON
actions,actions,JSON
ad_click_actions,ad_click_actions,JSON
ad_id,ad_id,INT64
ad_impression_actions,ad_impression_actions,JSON
ad_name,ad_name,STRING
adset_id,adset_id,INT64
adset_name,adset_name,STRING
attribution_setting,attribution_setting,STRING
auction_bid,auction_bid,FLOAT64
auction_competitiveness,auction_competitiveness,STRING
auction_max_competitor_bid,auction_max_competitor_bid,FLOAT64
buying_type,buying_type,STRING
campaign_id,campaign_id,INT64
campaign_name,campaign_name,STRING
canvas_avg_view_percent,canvas_avg_view_percent,FLOAT64
canvas_avg_view_time,canvas_avg_view_time,FLOAT64
catalog_segment_actions,catalog_segment_actions,JSON
catalog_segment_value,catalog_segment_value,JSON
catalog_segment_value_mobile_purchase_roas,catalog_segment_value_mobile_purchase_roas,JSON
catalog_segment_value_omni_purchase_roas,catalog_segment_value_omni_purchase_roas,JSON
catalog_segment_value_website_purchase_roas,catalog_segment_value_website_purchase_roas,JSON
clicks,clicks,INT64
conversion_values,conversion_values,JSON
conversions,conversions,JSON
converted_product_quantity,converted_product_quantity,JSON
converted_product_value,converted_product_value,JSON
cost_per_15_sec_video_view,cost_per_15_sec_video_view,JSON
cost_per_2_sec_continuous_video_view,cost_per_2_sec_continuous_video_view,JSON
cost_per_action_type,cost_per_action_type,JSON
cost_per_ad_click,cost_per_ad_click,JSON
cost_per_conversion,cost_per_conversion,JSON
cost_per_dda_countby_convs,cost_per_dda_countby_convs,FLOAT64
cost_per_inline_link_click,cost_per_inline_link_click,FLOAT64
cost_per_inline_post_engagement,cost_per_inline_post_engagement,FLOAT64
cost_per_one_thousand_ad_impression,cost_per_one_thousand_ad_impression,JSON
cost_per_outbound_click,cost_per_outbound_click,JSON
cost_per_thruplay,cost_per_thruplay,JSON
cost_per_unique_action_type,cost_per_unique_action_type,JSON
cost_per_unique_click,cost_per_unique_click,FLOAT64
cost_per_unique_inline_link_click,cost_per_unique_inline_link_click,FLOAT64
cost_per_unique_outbound_click,cost_per_unique_outbound_click,JSON
cpc,cpc,FLOAT64
cpm,cpm,FLOAT64
cpp,cpp,FLOAT64
created_time,created_time,DATE
ctr,ctr,FLOAT64
date_start,date_start,DATE
date_stop,date_stop,DATE
dda_countby_convs,dda_countby_convs,FLOAT64
dda_results,dda_results,JSON
frequency,frequency,FLOAT64
full_view_impressions,full_view_impressions,INT64
full_view_reach,full_view_reach,INT64
impressions,impressions,INT64
inline_link_click_ctr,inline_link_click_ctr,FLOAT64
inline_link_clicks,inline_link_clicks,INT64
inline_post_engagement,inline_post_engagement,INT64
instant_experience_clicks_to_open,instant_experience_clicks_to_open,INT64
instant_experience_clicks_to_start,instant_experience_clicks_to_start,INT64
instant_experience_outbound_clicks,instant_experience_outbound_clicks,JSON
interactive_component_tap,interactive_component_tap,JSON
mobile_app_purchase_roas,mobile_app_purchase_roas,JSON
objective,objective,STRING
optimization_goal,optimization_goal,STRING
outbound_clicks,outbound_clicks,JSON
outbound_clicks_ctr,outbound_clicks_ctr,JSON
place_page_name,place_page_name,STRING
platform_position,platform_position,STRING
publisher_platform,publisher_platform,STRING
purchase_roas,purchase_roas,JSON
qualifying_question_qualify_answer_rate,qualifying_question_qualify_answer_rate,FLOAT64
reach,reach,INT64
social_spend,social_spend,FLOAT64
spend,spend,FLOAT64
updated_time,updated_time,DATE
video_30_sec_watched_actions,video_30_sec_watched_actions,JSON
video_avg_time_watched_actions,video_avg_time_watched_actions,JSON
video_continuous_2_sec_watched_actions,video_continuous_2_sec_watched_actions,JSON
video_p100_watched_actions,video_p100_watched_actions,JSON
video_p25_watched_actions,video_p25_watched_actions,JSON
video_p50_watched_actions,video_p50_watched_actions,JSON
video_p75_watched_actions,video_p75_watched_actions,JSON
video_p95_watched_actions,video_p95_watched_actions,JSON
video_play_actions,video_play_actions,JSON
video_play_curve_actions,video_play_curve_actions,JSON
video_play_retention_0_to_15s_actions,video_play_retention_0_to_15s_actions,JSON
video_play_retention_20_to_60s_actions,video_play_retention_20_to_60s_actions,JSON
video_play_retention_graph_actions,video_play_retention_graph_actions,JSON
video_time_watched_actions,video_time_watched_actions,JSON
website_ctr,website_ctr,JSON
website_purchase_roas,website_purchase_roas,JSON
