SourceField,TargetField,DataType
AccountID,AccountID,INT64
OYBAccountID,OYBAccountID,INT64
JobID,JobID,INT64
ListID,ListID,INT64
BatchID,BatchID,INT64
SubscriberID,SubscriberID,INT64
SubscriberKey,SubscriberKey,STRING
EventDate,EventDate,TIMESTAMP
IsUnique,IsUnique,BOOL
Domain,Domain,STRING
BounceCategoryID,BounceCategoryID,INT64
BounceCategory,BounceCategory,STRING
BounceSubcategoryID,BounceSubcategoryID,INT64
BounceSubcategory,BounceSubcategory,STRING
BounceTypeID,BounceTypeID,INT64
BounceType,BounceType,STRING
SMTPCode,SMTPCode,INT64
SMTPBounceReason,SMTPBounceReason,STRING
SMTPMessage,SMTPMessage,STRING
TriggererSendDefinitionObjectID,TriggererSendDefinitionObjectID,STRING
TriggeredSendCustomerKey,TriggeredSendCustomerKey,STRING
